id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
173,BB,Bundesstiftung Baukultur,1,,,,,,,,,,,,
174,DENEFF,Deutsche Unternehmensinitiative Energieeffizienz,1,,,,,,,,,,,,
175,ProRegio,Pro RegioStadtbahn,1,,,,,,,,,,,,
176,VWE,Verband Wohneigentum,1,,,,,,,,,,,,
177,Bundesbildungsministerium,Bundesministerium fuer Bildung und Forschung,1,,,,,,,,,,,,
178,Unternehmensberatung,weltweite Unternehmensberatung,1,,,,,,,,,,,,
179,Hirschfeld,Bundesstiftung Magnus Hirschfeld,1,,,,,,,,,,,,
180,AIDS,Deutsche AIDS Stiftung,1,,,,,,,,,,,,
181,EBB,Projektgruppe 3 und 4 der Enquete Berufliche Bildung,1,,,,,,,,,,,,
182,ATFT,Ausschuss fuer Bildung Forschung und Technikfolgenabschaetzung,1,,,,,,,,,,,,
183,AFSFJ,Ausschuss fuer Familie Senioren Frauen und Jugend,1,,,,,,,,,,,,
184,BCG,The Boston Consulting Group GmbH,1,,,,,,,,,,,,
185,DSW,Deutsches Studentenwerk,1,,,,,,,,,,,,
186,LiSL,Liberale Schwule und Lesben,1,,,,,,,,,,,,
187,VpH,Verband der privaten Hochschulen,1,,,,,,,,,,,,
188,YEC,Young Economy Club,1,,,,,,,,,,,,
189,Mannheim,Mannheim,1,,,,,,,,,,,,
190,Regensburg,Regensburg,1,,,,,,,,,,,,
191,Heidelberg,Heidelberg,1,,,,,,,,,,,,
192,Freiburg,Freiburg im Breisgau,1,,,,,,,,,,,,
193,Karlsruhe,Karlsruhe,1,,,,,,,,,,,,
194,Konstanz,Konstanz,1,,,,,,,,,,,,
195,Reutlingen,Reutlingen,1,,,,,,,,,,,,
196,Tuebingen,Tuebingen,1,,,,,,,,,,,,
